id,name,state_id
312,Ranebennuru,11
313,Amreli,7
314,Neyveli (TS),23
315,Jamalpur,4
316,Marmagao,6
317,Udgir,14
318,Tadepalligudem,1
319,Nagapattinam,23
320,Buxar,4
321,Aurangabad,14
322,Jehanabad,4
323,Phagwara,20
324,Khair,27
325,Sawai Madhopur,21
326,Kapurthala,20
327,Chilakaluripet,1
328,Aurangabad,4
329,Malappuram,12
330,Rewari,8
331,Nagaur,21
332,Sultanpur,27
333,Nagda,13
334,Port Blair,29
335,Lakhisarai,4
336,Panaji,6
337,Tinsukia,3
338,Itarsi,13
339,Kohima,18
340,Balangir,19
341,Nawada,4
342,Jharsuguda,19
343,Jagtial,24
344,Viluppuram,23
345,Amalner,14
346,Zirakpur,20
347,Tanda,27
348,Tiruchengode,23
349,Nagina,27
350,Yemmiganur,1
351,Vaniyambadi,23
352,Sarni,13
353,Theni Allinagaram,23
354,Margao,6
355,Akot,14
356,Sehore,13
357,Mhow Cantonment,13
358,Kot Kapura,20
359,Makrana,21
360,Pandharpur,14
361,Miryalaguda,24
362,Shamli,27
363,Seoni,13
364,Ranibennur,11
365,Kadiri,1
366,Shrirampur,14
367,Rudrapur,26
368,Parli,14
369,Najibabad,27
370,Nirmal,24
371,Udhagamandalam,23
372,Shikohabad,27
373,Jhumri Telaiya,10
374,Aruppukkottai,23
375,Ponnani,12
376,Jamui,4
377,Sitamarhi,4
378,Chirala,1
379,Anjar,7
380,Karaikal,37
381,Hansi,8
382,Anakapalle,1
383,Mahasamund,5
384,Faridkot,20
385,Saunda,10
386,Dhoraji,7
387,Paramakudi,23
388,Balaghat,13
389,Sujangarh,21
390,Khambhat,7
391,Muktsar,20
392,Rajpura,20
393,Kavali,1
394,Dhamtari,5
395,Ashok Nagar,13
396,Sardarshahar,21
397,Mahuva,7
398,Bargarh,19
399,Kamareddy,24
400,Sahibganj,10
401,Kothagudem,24
402,Ramanagaram,11
403,Gokak,11
404,Tikamgarh,13
405,Araria,4
406,Rishikesh,26
407,Shahdol,13
408,Medininagar (Daltonganj),10
409,Arakkonam,23
410,Washim,14
411,Sangrur,20
412,Bodhan,24
413,Fazilka,20
414,Palacole,1
415,Keshod,7
416,Sullurpeta,1
417,Wadhwan,7
418,Gurdaspur,20
419,Vatakara,12
420,Tura,16
421,Narnaul,8
422,Kharar,20
423,Yadgir,11
424,Ambejogai,14
425,Ankleshwar,7
426,Savarkundla,7
427,Paradeep,19
428,Virudhachalam,23
429,Kanhangad,12
430,Kadi,7
431,Srivilliputhur,23
432,Gobindgarh,20
433,Tindivanam,23
434,Mansa,20
435,Taliparamba,12
436,Manmad,14
437,Tanuku,1
438,Rayachoti,1
439,Virudhunagar,23
440,Koyilandy,12
441,Jorhat,3
442,Karur,23
443,Valparai,23
444,Srikalahasti,1
445,Neyyattinkara,12
446,Bapatla,1
447,Fatehabad,8
448,Malout,20
449,Sankarankovil,23
450,Tenkasi,23
451,Ratnagiri,14
452,Rabkavi Banhatti,11
453,Sikandrabad,27
454,Chaibasa,10
455,Chirmiri,5
456,Palwancha,24
457,Bhawanipatna,19
458,Kayamkulam,12
459,Pithampur,13
460,Nabha,20
461,"Shahabad, Hardoi",27
